title,activity_contents,categories,url,thumbnail
Figurative Language Maze: Winter Hyperbole,"Practice identifying hyperbole with this engaging winter-themed figurative language maze! This figurative language worksheet invites middle school learners to find the path through the maze by identifying only the spaces containing examples of hyperbole. As they follow the path from start to finish, students will put their knowledge of figurative language techniques to the test by identifying only the hyperbole and avoiding similes, metaphors, and more. Once they've reached the end of the maze, learners will record each letter they collected along the way to complete the mystery hyperbole at the bottom of the page.
For more wintry grammar practice, check out the Figurative Language Maze: Winter Similes and Figurative Language Maze: Winter Metaphors worksheets!
","{'brand': ['Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Reading & Writing', 'Grammar', 'Offline games', 'Seasonal', 'Mazes', 'Winter', 'Language and Vocabulary', 'Language', 'Figurative Language', 'Hyperbole']}",/worksheet/article/figurative-language-maze-winter-hyperbole/,https://cdn.education.com/worksheet-image/3956148/figurative-language-maze-winter-hyperbole-2024-02-29.gif
Winter Word Sort: Open and Closed Syllables #3,"Get more fun phonics practice this winter with this open and closed syllable sort! Designed for first-grade readers, this phonics worksheet invites learners to sort open- and closed-syllable words by coloring them different colors. Students will read and review words such as fly, shiny, hunter, and fish, coloring the words with an open syllable red, and coloring the words with a closed syllable yellow. 
Part of a larger series of grammar worksheets, this word sort will help students learn to predict which vowel sound to use when decoding unfamiliar multisyllabic words, which is an important skill for improving spelling and reading fluency!
Don't miss the other worksheets in this series: Winter Word Sort: Open and Closed Syllables #1 and Winter Word Sort: Open and Closed Syllables #2! Or check out the Winter Word Sort: One- and Two-Syllable Words #1 worksheet for more related phonics practice.
","{'brand': ['First Grade', 'Second Grade'], 'subject': ['Reading & Writing', 'Grammar', 'Phonics', 'Syllables', 'Letter Sounds', 'Decoding Words', 'Blending Syllables']}",/worksheet/article/winter-word-sort-open-and-closed-syllables-3/,https://cdn.education.com/worksheet-image/3955734/winter-word-sort-open-closed-2024-02-29.gif
Winter Word Sort: Open and Closed Syllables #2,"Give students more word study practice this winter with this engaging open and closed syllable sort! Perfect for first-grade readers, this grammar worksheet invites learners to sort open- and closed-syllable words by coloring them different colors. Students will review words such as stuck, lady, tent, and mitten, coloring the words with an open syllable purple, and coloring the words with a closed syllable green. 
Part of a larger series of coloring phonics worksheets, this word sort is a fun way to prepare students to predict which vowel sound to use when decoding unfamiliar multisyllabic words, which is an important skill for improving spelling and reading fluency!
For more related practice, don't miss: Winter Word Sort: Open and Closed Syllables #1 and Winter Word Sort: Open and Closed Syllables #3!
","{'brand': ['First Grade', 'Second Grade'], 'subject': ['Reading & Writing', 'Grammar', 'Phonics', 'Syllables', 'Letter Sounds', 'Decoding Words', 'Blending Syllables']}",/worksheet/article/winter-word-sort-open-and-closed-syllables-2/,https://cdn.education.com/worksheet-image/3955720/winter-word-sort-open-closed-2024-02-29.gif
St. Patrick's Day Spelling Word Search #2,"Incorporate spelling practice into your St. Patrick's Day celebrations with this fun word search activity! This unique spelling worksheet features a word bank with 24 words related to St. Patrick's Day, but only some of them are spelled correctly. Students will first identify which words are spelled incorrectly and highlight them in the word bank, using a unique color for each word. Then, using the same colors from Part 1, learners will need to seek out the correct spelling of those words in the corresponding word search puzzle.
With words like traditional, potatoes, and laughter, this engaging word puzzle worksheet is a unique way to encourage sixth-, seventh-, and eighth-grade learners to practice spelling skills and grow their vocabulary, all while celebrating St. Patrick's Day!
Don't miss the first worksheet in this two-part spelling series: St. Patrick's Day Spelling Word Search #1!
","{'brand': ['Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Reading & Writing', 'Grammar', 'Offline games', 'Spelling', 'Holidays', 'Word Search', ""St. Patrick's Day"", 'Irregularly Spelled Words']}",/worksheet/article/st-patricks-day-spelling-word-search-2/,https://cdn.education.com/worksheet-image/3955403/st-patrick-day-spelling-word-2024-02-28.gif
St. Patrick's Day Spelling Word Search #1,"Brush up on some St. Patrick's Day-themed spelling words with this creative word search activity! This worksheet features a word bank with 24 words related to this beloved March holiday, but only some of them are spelled correctly. Students will need to first identify which words are spelled incorrectly and highlight them in the word bank, using a different color for each word. Then, using the same colors from Part 1, learners will need to seek out the correct spelling of those words in the corresponding word search puzzle.
Featuring words like horseshoe, mythology, and knot, this word puzzle worksheet is a fun way to help sixth-, seventh-, and eighth-grade learners hone spelling skills and expand their vocabulary, all while celebrating St. Patrick's Day!
Keep the festive fun going with St. Patrick's Day Spelling Word Search #2!
","{'brand': ['Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Reading & Writing', 'Grammar', 'Offline games', 'Spelling', 'Holidays', 'Word Search', ""St. Patrick's Day"", 'Irregularly Spelled Words']}",/worksheet/article/st-patricks-day-spelling-word-search-1/,https://cdn.education.com/worksheet-image/3955395/st-patrick-day-spelling-word-2024-02-28.gif
Novel Study: Wonder: Discussion Guide #3,"Encourage critical thinking and literacy skills with these discussion questions as students read part 4 of R.J. Palacio’s Wonder. Geared toward fourth-, fifth-, and sixth-grade readers, this discussion guide focuses on the chapters ""The Call"" through ""The Boyfriend,"" corresponding to pages 133–185 in the novel's 2017 hardcopy Random House edition. With the guidance of several in-depth comprehension, analysis, and connection questions, readers will examine Jack’s point of view of the events described in the book and compare it to August’s version of events. Then, students will analyze the new plot points and consider the role of friendship in middle school.
Whether used to spark a classroom discussion or as individual writing prompts, these thought-provoking questions are an engaging way to help learners review essential reading comprehension skills. Click “View answer key” to see sample student responses and context.
For more resources related to the novel, don't miss the full set of Wonder  worksheets!
","{'brand': ['Fourth Grade', 'Fifth Grade', 'Sixth Grade'], 'subject': ['Reading & Writing', 'Reading', 'Reading Genres and Types', 'Reading Comprehension Strategies', 'Novel Study', 'Identifying the Main Idea', 'Summarizing', 'Comprehension Questions', ""Identifying the Author's Purpose"", 'Cause and Effect', 'Sequencing Events', 'Making Inferences', 'Making Predictions', 'Making Connections in Reading', 'Comparing and Contrasting', 'Summarizing Fiction Texts', 'Sequencing in Fiction', ""Author's Purpose in Fiction"", 'Fiction Comprehension Questions', 'Identifying Problems and Solutions in Reading', 'Identifying the Main Idea in Fiction', 'Making Inferences in Fiction', 'Making Predictions in Fiction', 'Making Connections in Fiction', 'Identifying Cause and Effect in Fiction', 'Comparing and Contrasting in Fiction', 'Identifying Problems and Solutions in Fiction']}",/worksheet/article/novel-study-wonder-discussion-guide-3/,https://cdn.education.com/worksheet-image/3955366/study-discussion-guide-3-2024-02-28.gif
How Many Pies? #3,"Satisfy a sweet tooth while counting objects from 0–30 with this tasty, pie-themed worksheet! Geared toward learners in preschool and kindergarten, this early math worksheet features a variety of pies and asks students to determine the number of each type. Learners will count and then write the number of each type of pie (within 20) before finding the total number of pies (which will be a number within 30). 
Whether used in honor of Pi Day in March or to celebrate Thanksgiving in the fall, this engaging worksheet is a great way to help learners build important counting and number sense skills! For practice counting and writing numbers within 20, don't miss the How Many Pies? #1 and How Many Pies #2 worksheets. And for additional counting practice with a different twist, check out the Creature Counting worksheet next!
","{'brand': ['Preschool', 'Kindergarten'], 'subject': ['Math', 'Number Sense', 'Holidays', 'Seasonal', 'Fall', 'Numbers 0-10', 'Numbers 11-20', 'Thanksgiving', 'Writing Numbers 0-10', 'Counting Numbers 1-10', 'Writing Numbers 11-20', 'Counting Numbers 11-20']}",/worksheet/article/how-many-pies-3/,https://cdn.education.com/worksheet-image/3955259/pies-3-2024-02-28.gif
How Many Pies? #2,"Give learners a taste of counting objects from 0–20 in this delicious, pie-themed worksheet! Ideal for learners in preschool and kindergarten, this early math worksheet features a variety of pies and asks students to determine the number of each type. Learners will count and then write the number of each type of pie (within 10) before finding the total number of pies (which will be a number within 20). 
Perfect for celebrating Pi Day or Thanksgiving, this counting worksheet is a great activity to help learners build important counting and number sense skills! Don't miss the other worksheets in this series for more fun practice: How Many Pies? #1 and How Many Pies #3.
","{'brand': ['Preschool', 'Kindergarten'], 'subject': ['Math', 'Number Sense', 'Holidays', 'Seasonal', 'Fall', 'Numbers 0-10', 'Numbers 11-20', 'Thanksgiving', 'Writing Numbers 0-10', 'Counting Numbers 1-10', 'Writing Numbers 11-20', 'Counting Numbers 11-20']}",/worksheet/article/how-many-pies-2/,https://cdn.education.com/worksheet-image/3955231/pies-2-2024-02-28.gif
How Many Pies? #1,"Learners will have a “berry” good time counting objects from 0-15 in this sweet, pie-themed worksheet! Perfect for your youngest learners in preschool and kindergarten, this early math worksheet features a variety of pies and asks students to determine the number of each type. Learners will count and then write the number of each type of pie (within 10) before finding the total number of pies (which will be a number within 20). Handwriting lines are provided to assist students as they write each total.
This delicious counting activity is a great way to get younger students involved in celebrating Pi Day or Thanksgiving, all while building important counting and number sense skills! Ready for some slightly more advanced counting practice to 20 and beyond? Then be sure to check out How Many Pies? #2 and How Many Pies #3 next!
","{'brand': ['Preschool', 'Kindergarten'], 'subject': ['Math', 'Number Sense', 'Holidays', 'Seasonal', 'Fall', 'Numbers 0-10', 'Numbers 11-20', 'Thanksgiving', 'Writing Numbers 0-10', 'Counting Numbers 1-10', 'Writing Numbers 11-20', 'Counting Numbers 11-20']}",/worksheet/article/how-many-pies-1/,https://cdn.education.com/worksheet-image/3955214/pies-1-2024-02-28.gif
Novel Study: Wonder: Discussion Guide #2,"Encourage critical thinking and literacy skills with these discussion questions as students read parts 2 and 3 of R.J. Palacio’s Wonder. Geared toward fourth-, fifth-, and sixth-grade readers, this discussion guide focuses on the chapters ""A Tour of the Galaxy"" through ""The Egyptian Tomb,"" broken up into two digestible chunks, and corresponding to pages 81–132 in the novel's 2017 hardcopy Random House edition. Through the use of in-depth comprehension, analysis, and connection questions, readers will examine Via’s point of view of the events described in the book's first part and compare it to August’s version of events. They will be guided to consider the joys and complexities of having siblings with special needs, and to explore Summer’s point of view, as well. 
Whether used to spark a classroom discussion or as individual writing prompts, these thought-provoking questions are an engaging way to help learners review essential elements in the story, evaluate the author’s choices, make connections to other texts and their own lives, and even refine predictions. Click “View answer key” to see sample student responses and context.
For more resources related to the novel, don't miss the full set of Wonder  worksheets!
","{'brand': ['Fourth Grade', 'Fifth Grade', 'Sixth Grade'], 'subject': ['Reading & Writing', 'Reading', 'Reading Genres and Types', 'Reading Comprehension Strategies', 'Novel Study', 'Identifying the Main Idea', 'Summarizing', 'Comprehension Questions', ""Identifying the Author's Purpose"", 'Cause and Effect', 'Making Inferences', 'Sequencing Events', 'Making Connections in Reading', 'Making Predictions', 'Comparing and Contrasting', 'Summarizing Fiction Texts', 'Sequencing in Fiction', ""Author's Purpose in Fiction"", 'Fiction Comprehension Questions', 'Identifying Problems and Solutions in Reading', 'Identifying the Main Idea in Fiction', 'Making Inferences in Fiction', 'Making Connections in Fiction', 'Making Predictions in Fiction', 'Identifying Cause and Effect in Fiction', 'Comparing and Contrasting in Fiction', 'Identifying Problems and Solutions in Fiction']}",/worksheet/article/novel-study-wonder-discussion-guide-2/,https://cdn.education.com/worksheet-image/3954837/study-discussion-guide-2-2024-02-28.gif
Pie Picture Sudoku: Level 3,"Get ready for an even tastier challenge with level 3 of this Pie Picture Sudoku worksheet! Sudoku puzzles are a great way to help learners to develop pattern recognition, logic, and problem-solving skills. In this deliciously engaging cut-and-paste worksheet, learners will cut out the pictures at the bottom of the page and place them in the correct squares, ensuring that each picture only appears once in each row, column, and block. Featuring a large 9x9 grid and nine empty squares, this challenging Level 3 worksheet is ideal for learners in second through fifth grade. 
This pie-themed puzzle is a fun way to invite students to celebrate Thanksgiving or Pi Day! Or use it any time of year for a brain break or fun at-home activity. If students are new to this style of puzzle, have them complete Pie Picture Sudoku: Level 1 and Pie Picture Sudoku: Level 2 before taking on this Level 3 challenge.
","{'brand': ['Second Grade', 'Third Grade', 'Fourth Grade', 'Fifth Grade'], 'subject': ['Offline games', 'Holidays', 'Seasonal', 'Fall', 'Thanksgiving', 'Puzzles & Sudoku']}",/worksheet/article/pie-picture-sudoku-level-3/,https://cdn.education.com/worksheet-image/3954345/pie-picture-sudoku-level-3-2024-02-27.gif
Pie Picture Sudoku: Level 2,"Give learners an extra delicious challenge with level 2 of this Pie Picture Sudoku worksheet! Sudoku puzzles are a great way to help learners to develop pattern recognition, logic, and problem-solving skills. In this engaging cut-and-paste puzzle worksheet, learners will cut out the pictures at the bottom of the page and place them in the correct squares, ensuring that each picture only appears once in each row, column, and block. Featuring a 6x6 grid and six empty squares, this Level 2 worksheet makes a great intermediate challenge for learners in first through fourth grade. 
This pie-themed worksheet provides students with a fun and interactive way to celebrate Thanksgiving or Pi Day! Or use it any time of year for an engaging and appetite-inducing brainteaser. For more of an introductory challenge, check out the Pie Picture Sudoku: Level 1 worksheet. Or, for additional fun practice and an added challenge, don't miss Pie Picture Sudoku: Level 3!
","{'brand': ['First Grade', 'Second Grade', 'Third Grade', 'Fourth Grade'], 'subject': ['Offline games', 'Holidays', 'Seasonal', 'Fall', 'Thanksgiving', 'Puzzles & Sudoku']}",/worksheet/article/pie-picture-sudoku-level-2/,https://cdn.education.com/worksheet-image/3954311/pie-picture-sudoku-level-2-2024-02-27.gif
Pie Picture Sudoku: Level 1,"Challenge learners with a delicious game of Pie Picture Sudoku with this engaging cut-and-paste worksheet! Sudoku puzzles are a great way to help learners to develop pattern recognition, logic, and problem-solving skills. In this worksheet, learners will cut out the pictures at the bottom of the page and place them in the correct squares, ensuring that each picture only appears once in each row, column, and block. Featuring a 4x4 grid and four empty squares, this Level 1 worksheet makes a great introductory challenge for younger learners in kindergarten through third grade. 
You can use this pie-themed worksheet as a fun and interactive way to celebrate Thanksgiving or Pi Day! Don't miss the rest of the worksheets in this series for additional fun practice and an added challenge: Pie Picture Sudoku: Level 2 and Pie Picture Sudoku: Level 3.
","{'brand': ['Kindergarten', 'First Grade', 'Second Grade', 'Third Grade'], 'subject': ['Offline games', 'Holidays', 'Seasonal', 'Fall', 'Thanksgiving', 'Puzzles & Sudoku']}",/worksheet/article/pie-picture-sudoku-level-1/,https://cdn.education.com/worksheet-image/3954290/pie-picture-sudoku-level-1-2024-02-27.gif
"The First 1,000 Digits of Pi","Challenge students to celebrate Pi Day by memorizing the first 1,000 digits of pi with this helpful resource! This one-page printable worksheet provides students with a fun math-centered challenge in honor of Pi Day! This worksheet features the first 1,000 digits of pi split up into manageable chunks and alternate colors to support memorization. Ideal for learners in fifth, sixth, seventh, and eighth grade, this handout serves as a great reference tool to help students achieve their goal of memorizing the first 1,000 digits of pi. 
Before completing this challenge, consider having students start with the The First 100 Digits of Pi worksheet. And to learn more about pi in general, don't miss the What Is Pi? handout.
","{'brand': ['Fifth Grade', 'Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Math', 'Number Sense', 'Teacher Resources', 'Irrational Numbers', 'Handouts']}",/worksheet/article/the-first-1000-digits-of-pi/,https://cdn.education.com/worksheet-image/3954199/1000-digits-pi-2024-02-27.gif
The First 100 Digits of Pi,"Celebrate Pi Day by memorizing the first 100 digits of pi with this helpful resource! Print out this one-page worksheet to provide students with a fun math-centered challenge in honor of Pi Day! In this worksheet, learners are provided with the first 100 digits of pi split up into manageable chunks to support memorization. Students in fifth, sixth, seventh, and eighth grade can enjoy using this handout as a reference to help them reach their goal of memorizing the first 100 digits of pi. 
Ready to take it one step further? To memorize even more digits of pi, check out The First 1,000 Digits of Pi worksheet next. And to learn more about pi, check out the What Is Pi? handout.
","{'brand': ['Fifth Grade', 'Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Math', 'Number Sense', 'Teacher Resources', 'Irrational Numbers', 'Handouts']}",/worksheet/article/the-first-100-digits-of-pi/,https://cdn.education.com/worksheet-image/3954181/100-digits-pi-2024-02-27.gif
Research Graphic Organizer: Ramadan,"Invite learners to learn about Ramadan by conducting research and recording their findings on this festive research template! This simple and appealing graphic organizer features five questions that guide students to explore some basic information about this holiday. With prompts to describe how, when, where, and why Ramadan is celebrated, plus space for drawing a symbol that represents it, this worksheet offers learners a useful framework for conducting thoughtful research.
Ideal for a wide range of learners in fourth through eighth grade, this graphic organizer can be used alongside the Reflective Writing Prompt: Ramadan worksheet.
","{'brand': ['Fourth Grade', 'Fifth Grade', 'Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Reading & Writing', 'Writing', 'Holidays', 'Nonfiction Writing', 'Ramadan', 'Teacher Resources', 'Templates', 'Research Writing']}",/worksheet/article/research-graphic-organizer-ramadan/,https://cdn.education.com/worksheet-image/3954137/research-graphic-organizer-ramadan-2024-02-27.gif
Reflective Writing Prompt: Ramadan,"How can you care for your community? Get students thinking deeply with this engaging writing prompt! This reflective writing worksheet invites students to make connections between the religious holiday Ramadan and their daily experiences. Students will read a brief informational paragraph about Ramadan, and then they will use the prompts provided to guide their reflections. Writers are asked to include details about their experiences or the event, describe their thoughts and feelings about it, and reflect on how it impacted them.
Reflective writing helps elementary and middle school students understand and learn from their experiences by examining their thoughts, feelings, and actions. It is a great way to encourage self-awareness, critical thinking, and personal growth.
Designed for learners in fourth through eighth grade, this reflective writing prompt can be used in tandem with the Research Graphic Organizer: Ramadan worksheet.
","{'brand': ['Fourth Grade', 'Fifth Grade', 'Sixth Grade', 'Seventh Grade', 'Eighth Grade'], 'subject': ['Reading & Writing', 'Writing', 'Holidays', 'Seasonal', 'Spring', 'Nonfiction Writing', 'Ramadan', 'Reflective Writing']}",/worksheet/article/reflective-writing-prompt-ramadan/,https://cdn.education.com/worksheet-image/3951619/reflective-writing-prompt-ramadan-2024-02-27.gif
